series,origin,date,h,model,actual,forecast,abs_err,ape,sq_err
revenue,2018-05-28,2018-06-03,7,linear_regression,28461.66,28010.82173287844,450.8382671215586,1.5840195797488923,203255.14310116982
revenue,2018-05-28,2018-06-03,7,sarima,28461.66,16666.138929014258,11795.521070985742,41.443545706700675,139134317.33606863
revenue,2018-05-28,2018-06-03,7,ensemble,28461.66,22338.48033094635,6123.17966905365,21.51378264322478,37493329.25951197
revenue,2018-05-29,2018-05-29,1,naive,25572.08,26702.47,1130.3899999999994,4.420406943823105,1277781.5520999986
revenue,2018-05-29,2018-05-29,1,seasonal_naive,25572.08,27568.98,1996.8999999999978,7.808907214430729,3987609.6099999915
revenue,2018-05-29,2018-05-29,1,linear_regression,25572.08,37038.118173913055,11466.038173913053,44.8381131840392,131470031.4056314
revenue,2018-05-29,2018-05-29,1,sarima,25572.08,24422.86367938654,1149.216320613461,4.494027551194353,1320698.1515643413
revenue,2018-05-29,2018-05-29,1,ensemble,25572.08,30730.4909266498,5158.410926649798,20.172042816422433,26609203.288180027
revenue,2018-05-29,2018-06-04,7,naive,28622.4,26702.47,1919.9300000000003,6.707788305662699,3686131.204900001
revenue,2018-05-29,2018-06-04,7,seasonal_naive,28622.4,26702.47,1919.9300000000003,6.707788305662699,3686131.204900001
revenue,2018-05-29,2018-06-04,7,linear_regression,28622.4,39118.376536516065,10495.976536516064,36.67049770989177,110165523.45509575
revenue,2018-05-29,2018-06-04,7,sarima,28622.4,25713.504800274077,2908.8951997259246,10.163002402754223,8461671.282988526
revenue,2018-05-29,2018-06-04,7,ensemble,28622.4,32415.940668395073,3793.5406683950714,13.253747653568782,14390950.802767325
revenue,2018-05-30,2018-05-30,1,naive,19214.0,25572.08,6358.080000000002,33.09087123972105,40425181.28640002
revenue,2018-05-30,2018-05-30,1,seasonal_naive,19214.0,17501.05,1712.9500000000007,8.91511397939003,2934197.7025000025
revenue,2018-05-30,2018-05-30,1,linear_regression,19214.0,37796.24235294095,18582.24235294095,96.71199309327027,345299730.8634324
revenue,2018-05-30,2018-05-30,1,sarima,19214.0,24971.531843210447,5757.531843210447,29.965295322215297,33149172.925582286
revenue,2018-05-30,2018-05-30,1,ensemble,19214.0,31383.8870980757,12169.887098075698,63.33864420774278,148106151.97990933
revenue,2018-05-30,2018-06-05,7,naive,30709.36,25572.08,5137.279999999999,16.728710725329343,26391645.79839999
revenue,2018-05-30,2018-06-05,7,seasonal_naive,30709.36,25572.08,5137.279999999999,16.728710725329343,26391645.79839999
revenue,2018-05-30,2018-06-05,7,linear_regression,30709.36,36103.28209150304,5393.922091503038,17.564423652928745,29094395.52920451
revenue,2018-05-30,2018-06-05,7,sarima,30709.36,24151.56799558179,6557.79200441821,21.354375357930643,43004635.97321141
revenue,2018-05-30,2018-06-05,7,ensemble,30709.36,30127.425043542415,581.9349564575859,1.8949758525009506,338648.2935472925
revenue,2018-05-31,2018-05-31,1,naive,25111.28,19214.0,5897.279999999999,23.484585413407835,34777911.39839999
revenue,2018-05-31,2018-05-31,1,seasonal_naive,25111.28,20073.26,5038.02,20.062776568936354,25381645.520400003
revenue,2018-05-31,2018-05-31,1,linear_regression,25111.28,34770.87856777498,9659.598567774978,38.46716920752338,93307844.4905604
revenue,2018-05-31,2018-05-31,1,sarima,25111.28,20524.539632979457,4586.740367020542,18.265657373979113,21038187.19445574
revenue,2018-05-31,2018-05-31,1,ensemble,25111.28,27647.709100377215,2536.429100377216,10.100755916772128,6433472.581240373
revenue,2018-05-31,2018-06-06,7,naive,26134.4,19214.0,6920.4000000000015,26.480041630953842,47891936.16000002
revenue,2018-05-31,2018-06-06,7,seasonal_naive,26134.4,19214.0,6920.4000000000015,26.480041630953842,47891936.16000002
