static,max_z,multi_0.05,multi_margin_0.05,uni_0.05,uni_margin_0.05,multi_0.1,multi_margin_0.1,uni_0.1,uni_margin_0.1,multi_0.15,multi_margin_0.15,uni_0.15,uni_margin_0.15,seed,feature,date,split,label,kind
False,0.926613272781638,False,-0.13176502750240704,False,-0.12261207161174215,False,-0.11109668361729641,False,-0.07983208076787918,False,-0.09490827722411566,False,-0.06321445382835367,0,weekday,2018-01-26,test,False,
False,1.0038199967330372,False,-0.12367171765588975,False,-0.1367012701334553,False,-0.11382010379547153,False,-0.10360889230479425,False,-0.09224674787579029,False,-0.08242953251632762,0,weekday,2018-01-27,test,False,
False,1.0020235568526408,False,-0.12845546235339195,False,-0.1514884317882877,False,-0.11747923666907029,False,-0.11839605395962666,False,-0.0996181932268348,False,-0.07571559890348634,0,weekday,2018-01-28,test,False,
False,1.5027006339878946,False,-0.08293395745967674,False,-0.06958480837752079,False,-0.0775158232339363,False,-0.036492430548859756,False,-0.054428088040126166,False,-0.02063514917405007,0,weekday,2018-01-29,test,False,
False,0.9861877028907063,False,-0.15060118686529872,False,-0.18268250187747592,False,-0.13289774735418908,False,-0.15934777900465502,False,-0.12394328921750147,False,-0.1210284393376555,0,weekday,2018-01-30,test,False,
False,1.3471575384164043,False,-0.11392365603353538,False,-0.03457960234309587,False,-0.09173446629158966,False,-0.004953302413360783,False,-0.08596055855392581,True,0.03901763364536048,0,weekday,2018-01-31,test,False,
False,0.7170133258813847,False,-0.17100090406187624,False,-0.15918437437882832,False,-0.15831897252115784,False,-0.12373688335282412,False,-0.1503858437320707,False,-0.09153412250797816,0,weekday,2018-02-01,test,False,
False,0.4761654777984359,False,-0.1818382941626681,False,-0.13116202890025574,False,-0.16794332230160186,False,-0.10086503940352032,False,-0.1590582692691314,False,-0.06624994007445906,0,weekday,2018-02-02,test,False,
False,1.1591962975977534,False,-0.13710338396195176,False,-0.09578269104851722,False,-0.12749983512046892,False,-0.06852829735165289,False,-0.11876757202973087,False,-0.03161399696553335,0,weekday,2018-02-03,test,False,
False,0.8182386419904122,False,-0.1687702563781619,False,-0.16667873958376167,False,-0.15257166485064888,False,-0.1284673473731942,False,-0.14149874533627405,False,-0.10300332688015124,0,weekday,2018-02-04,test,False,
False,0.9709338681115055,False,-0.15741054256898585,False,-0.10224369597830285,False,-0.14410407238714368,False,-0.07018850278675826,False,-0.13505814956105272,False,-0.05710547762006157,0,weekday,2018-02-05,test,False,
False,0.4969787462695241,False,-0.16447621609873786,False,-0.14006266315929855,False,-0.15125546736790974,False,-0.08468027446649495,False,-0.14311374530298004,False,-0.04819631392441237,0,weekday,2018-02-06,test,False,
False,0.6541088368363697,False,-0.1922101985660955,False,-0.17803336013105653,False,-0.1777613253670593,False,-0.14031701965263288,False,-0.1669798007321172,False,-0.1283765688339108,0,weekday,2018-02-07,test,False,
False,0.2846721863051917,False,-0.19910219985614408,False,-0.186160639324166,False,-0.18444443289764245,False,-0.14600287040743526,False,-0.17754527735132408,False,-0.13245561615365103,0,weekday,2018-02-08,test,False,
False,0.2748434661680281,False,-0.1894300364228662,False,-0.13980350797492203,False,-0.17492783398360995,False,-0.09874541424684646,False,-0.16821726865842496,False,-0.08114027886801278,0,weekday,2018-02-09,test,False,
False,0.8309707986261865,False,-0.18368337435039356,False,-0.17751920640361601,False,-0.17587531307359466,False,-0.13627551977085423,False,-0.16411090117132215,False,-0.12327498974646628,0,weekday,2018-02-10,test,False,
False,0.9465903006180992,False,-0.1324781645400031,False,-0.12773701525525194,False,-0.1264464609248876,False,-0.09662056158859278,False,-0.11332393724700235,False,-0.08863736569877301,0,weekday,2018-02-11,test,False,
False,1.5993880223927979,False,-0.10826587534388249,False,-0.04022793665058888,False,-0.09563709205358634,False,-0.008329265445031542,False,-0.0761572308626351,True,0.004148476923669819,0,weekday,2018-02-12,test,False,
False,1.8076019693992165,False,-0.09180955820279857,False,-0.04234558665291688,False,-0.08061438724712566,False,-0.00889522251754904,False,-0.06895863035982941,True,0.015211146912526008,0,weekday,2018-02-13,test,False,
True,2.477602064086646,True,0.0006104664329111831,True,0.0785714576249309,True,0.009564700070023302,True,0.1189817127100331,True,0.022721229786008545,True,0.1359223646993788,0,weekday,2018-02-14,test,True,delivery_delay
False,0.47108350602042137,False,-0.16366059488497547,False,-0.1286225176304816,False,-0.15630153839188493,False,-0.10677359570802158,False,-0.144182031453097,False,-0.07927906088086145,0,weekday,2018-02-15,test,False,
False,0.3197538492762269,False,-0.18281608538339744,False,-0.15912816064999674,False,-0.1789289149732003,False,-0.12826565736425138,False,-0.17165704877761367,False,-0.09940710258126711,0,weekday,2018-02-16,test,False,
False,0.345764192425517,False,-0.16839101537409346,False,-0.14055488233766278,False,-0.16318395344563513,False,-0.11452270266178549,False,-0.1513836545219885,False,-0.08182172304028829,0,weekday,2018-02-17,test,False,
False,0.24740547510054578,False,-0.18545025887642214,False,-0.1341621073505871,False,-0.17805550710397872,False,-0.09963930414157096,False,-0.15826514676365083,False,-0.08237021990846394,0,weekday,2018-02-18,test,False,
False,0.7237786029879388,False,-0.1807711242582874,False,-0.14877407815031823,False,-0.16803042773391313,False,-0.07360555585289497,False,-0.1481456411501449,False,-0.037073097750379924,0,weekday,2018-02-19,test,False,
False,0.19085398068161216,False,-0.20447042625550355,False,-0.1552144216704886,False,-0.18458205195576544,False,-0.0952519625253424,False,-0.16723209159844482,False,-0.04558916104072419,0,weekday,2018-02-20,test,False,
False,0.9284738295593532,False,-0.2113546917742693,False,-0.20220820868917377,False,-0.1795450007644422,False,-0.12101843417544828,False,-0.17336901248006048,False,-0.06751761498204428,0,weekday,2018-02-21,test,False,
False,0.3666117757686061,False,-0.19114369899793504,False,-0.1777318277551907,False,-0.16190727354362344,False,-0.08926839928699792,False,-0.14811555469079485,False,-0.05465204200530094,0,weekday,2018-02-22,test,False,
False,0.3619316461308178,False,-0.20773297724252887,False,-0.17064565825815647,False,-0.18456429838664307,False,-0.12537371208358594,False,-0.1540933673560097,False,-0.06728037585117252,0,weekday,2018-02-23,test,False,
False,0.2890410580563625,False,-0.2365776693459079,False,-0.1340645517656811,False,-0.2029089748126453,False,-0.08879260559111057,False,-0.1641148447886484,False,-0.030212224611184113,0,weekday,2018-02-24,test,False,
False,0.33154275963843766,False,-0.23189424851903245,False,-0.14130314782246495,False,-0.1865395102366702,False,-0.09599547879963294,False,-0.1498364358751189,False,-0.04233195764054426,0,weekday,2018-02-25,test,False,
False,0.8712815336954336,False,-0.1809656884335774,False,-0.1204618256095592,False,-0.12879136254091506,False,-0.04291587173277567,False,-0.07719687934805242,False,-0.022207559784266695,0,weekday,2018-02-26,test,False,
False,0.4211921598112339,False,-0.22669248851260282,False,-0.14813610272296313,False,-0.1668820793672171,False,-0.10395090673636181,False,-0.12020664746565068,False,-0.07208236002678131,0,weekday,2018-02-27,test,False,
False,0.5970939505610292,False,-0.21790249500175302,False,-0.15554898404906314,False,-0.16670906316690043,False,-0.055516390815246175,False,-0.11099380513049467,False,-0.03975909290134794,0,weekday,2018-02-28,test,False,
False,0.3422637936561233,False,-0.23066896680348337,False,-0.17965519543525027,False,-0.18624629582260988,False,-0.13009741945316805,False,-0.12866893491780362,False,-0.0985700087082933,0,weekday,2018-03-01,test,False,
False,0.29186265467719785,False,-0.2410130579974708,False,-0.15174424065394548,False,-0.17121460093655677,False,-0.11163282084202758,False,-0.1123796257833996,False,-0.09346281596647904,0,weekday,2018-03-02,test,False,
False,0.2918388136719151,False,-0.24379571809645872,False,-0.17812609203401958,False,-0.19312089792803322,False,-0.14636800905291059,False,-0.16746038371131877,False,-0.12274422863229528,0,weekday,2018-03-03,test,False,
False,0.7694261876832377,False,-0.2135209558101962,False,-0.12523835743654377,False,-0.16243891645911518,False,-0.10866918088229932,False,-0.1231897797798151,False,-0.09175903250097717,0,weekday,2018-03-04,test,False,
False,1.9689201306389255,False,-0.1567368281381999,False,-0.0048489548359332835,False,-0.10672681653311422,True,0.0026216119012958394,False,-0.06703287943926406,True,0.025871531062476194,0,weekday,2018-03-05,test,False,
False,2.382347131628263,False,-0.12139503019462561,True,0.06795300229249679,False,-0.07082266785133884,True,0.10633378351798872,False,-0.045144853574888955,True,0.1487950812954416,0,weekday,2018-03-06,test,True,delivery_delay
False,0.7349463691865279,False,-0.24226712863951044,False,-0.19469713028487867,False,-0.1870992469124773,False,-0.1545329126074403,False,-0.163775175960093,False,-0.1372604700855694,0,weekday,2018-03-07,test,False,
False,0.9488448742302028,False,-0.21061507265485252,False,-0.0952072328730239,False,-0.15348094518329575,False,-0.07385796640744235,False,-0.11022120026480958,False,-0.05430753238383074,0,weekday,2018-03-08,test,False,
False,0.7738958701587132,False,-0.2347936114032922,False,-0.18063904138746734,False,-0.18840866943275264,False,-0.1586585774874999,False,-0.1441650440428291,False,-0.10826466052158301,0,weekday,2018-03-09,test,False,
False,0.5107983216981963,False,-0.24002441708452404,False,-0.20776351548484406,False,-0.2059069441441017,False,-0.16992011502460025,False,-0.16321571343245933,False,-0.11242207873325194,0,weekday,2018-03-10,test,False,
False,1.4395503958247442,False,-0.15334273810116955,False,-0.026326595990590063,False,-0.12668559307840593,True,0.011485014278594718,False,-0.08641145039956627,True,0.06932143318813011,0,weekday,2018-03-11,test,False,
False,1.4954191819816087,False,-0.13999359082237234,False,-0.09645896539453214,False,-0.10956515335497935,False,-0.043486791306604045,False,-0.07382068045115892,False,-0.004006712281490077,0,weekday,2018-03-12,test,False,
False,1.0048967555191253,False,-0.21269995965748933,False,-0.13374146289251898,False,-0.17618653952047036,False,-0.05908174135604016,False,-0.11945728249101106,False,-0.007063754281781076,0,weekday,2018-03-13,test,False,
False,1.5268310721328193,False,-0.08755123324878256,True,0.032509866292042,False,-0.04811291581314936,True,0.117586562842809,True,0.009153516453903499,True,0.14772822533633334,0,weekday,2018-03-14,test,False,
False,1.0937476583265893,False,-0.1404017013629062,False,-0.09804453269914792,False,-0.08813155622576363,False,-0.047860259455934306,False,-0.04766731732824259,True,0.0043199757152138085,0,weekday,2018-03-15,test,False,
False,0.8183718699728486,False,-0.21442633979288378,False,-0.1888566569664643,False,-0.14982221297473458,False,-0.13200490724135877,False,-0.12788657758752592,False,-0.0894229892222268,0,weekday,2018-03-16,test,False,
False,1.247405644383537,False,-0.14954810897155796,False,-0.06273960214599317,False,-0.10732094976108503,False,-0.001300822285615344,False,-0.08917285109439393,True,0.03521779239761991,0,weekday,2018-03-17,test,False,
False,1.4139867813018108,False,-0.15434020766589895,False,-0.033938005875561505,False,-0.11220529140877888,False,-0.008344320579358855,False,-0.08720988057837586,True,0.04976116443302714,0,weekday,2018-03-18,test,False,
False,1.3175433306087154,False,-0.14302574433109172,False,-0.11625675130442681,False,-0.09848001226564895,False,-0.03942763267094329,False,-0.07592298663877028,False,-0.012211696155437268,0,weekday,2018-03-19,test,False,
False,0.5687715337233883,False,-0.18798158809889132,False,-0.17981833166824074,False,-0.13885563260878597,False,-0.10668129715606717,False,-0.11852990980854838,False,-0.05218684270907753,0,weekday,2018-03-20,test,False,
